code,description,last_updated
100000-9,Health informatics pioneer and the father of LOINC,09-06-2025
100001-7,Health informatics pioneer and cofounder of LOINC,09-06-2025
100002-5,Specimen care is maintained,09-06-2025
100003-3,Team communication is maintained throughout care,09-06-2025
100004-1,Demonstrates knowledge of the expected psychosocial responses to the procedure,09-06-2025
100005-8,Demonstrates knowledge of nutritional management related to the procedure,09-06-2025
100006-6,Demonstrates knowledge of medication management,09-06-2025
100007-4,Demonstrates knowledge of pain management,09-06-2025
10000-8,R wave duration in lead AVR,09-06-2025
100008-2,Demonstrates knowledge of wound management,09-06-2025
100009-0,Demonstrates knowledge of the procedure and expected results,09-06-2025
100010-8,"No injury related to procedure equipment, medical supplies, or instrumentation",09-06-2025
100011-6,No injury related to an electrical source,09-06-2025
100012-4,Participates in decisions affecting the patient's plan of care,09-06-2025
100013-2,Participates in the discharge process,09-06-2025
100014-0,Psychosocial health is maintained at or improved from baseline,09-06-2025
100015-7,No injury related to positioning due to care or procedure,09-06-2025
10001-6,R wave duration in lead I,09-06-2025
100016-5,No injury related to a laser source,09-06-2025
100017-3,Perioperative nursing data set outcomes panel [PNDS],09-06-2025
100018-1,Hospice care Note,09-06-2025
100019-9,ALK gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,09-06-2025
100020-7,GNA11 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,09-06-2025
100021-5,GNAQ gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,09-06-2025
100022-3,IDH1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,09-06-2025
100023-1,IDH2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,09-06-2025
10002-4,R wave duration in lead II,09-06-2025
100024-9,SETBP1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,09-06-2025
100025-6,SRSF2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,09-06-2025
100026-4,MET gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,09-06-2025
100027-2,SMAD4 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,09-06-2025
100028-0,FBXW7 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,09-06-2025
100029-8,Cancer related multigene analysis in Plasma cell-free DNA by Molecular genetics method,09-06-2025
100030-6,Axis I: Temporal aspects score [Mainz Pain Staging System],09-06-2025
100031-4,Axis II: Spatial aspects score [Mainz Pain Staging System],09-06-2025
10003-2,R wave duration in lead III,09-06-2025
100032-2,Axis III: Drug taking behavior score [Mainz Pain Staging System],09-06-2025
100033-0,Axis IV: Utilization of the health care system score [Mainz Pain Staging System],09-06-2025
100034-8,Provider of automated external defibrillator use,09-06-2025
100035-5,Exam finding location of Chest,09-06-2025
100036-3,Exam finding location of Lung,09-06-2025
100037-1,Patient contact disposition EMS unit,09-06-2025
100038-9,Patient evaluation disposition EMS unit,09-06-2025
100039-7,Crew disposition for patient care EMS unit,09-06-2025
10004-0,R wave duration in lead V1,09-06-2025
100040-5,Patient transport disposition EMS unit,09-06-2025
100041-3,Aminoglycoside [Susceptibility],09-06-2025
100042-1,Atovaquone [Susceptibility],09-06-2025
100043-9,Azithromycin+Ethambutol [Susceptibility],09-06-2025
100044-7,Cefcapene [Susceptibility],09-06-2025
100045-4,Cefozopran [Susceptibility],09-06-2025
100046-2,Cefquinome [Susceptibility],09-06-2025
100047-0,Cefteram [Susceptibility],09-06-2025
100048-8,Clarithromycin+Ethambutol [Susceptibility],09-06-2025
100049-6,Eravacycline [Susceptibility],09-06-2025
100050-4,Erythromycin+Ethambutol [Susceptibility],09-06-2025
100051-2,Ethambutol+rifAMPin [Susceptibility],09-06-2025
100052-0,Flomoxef [Susceptibility],09-06-2025
100053-8,Fluoroquinolone [Susceptibility],09-06-2025
100054-6,Gamithromycin [Susceptibility],09-06-2025
100055-3,Optochin [Susceptibility],09-06-2025
100056-1,Panipenem [Susceptibility],09-06-2025
10005-7,R wave duration in lead V2,09-06-2025
100057-9,Prothionamide [Susceptibility],09-06-2025
